IQ-TREE multicore version 1.6.5 for Linux 64-bit built Jun  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    s53.uppmax.uu.se (AVX, 125 GB RAM)
Command: iqtree -s mafft_mt_seqs.clustal -o O1_Cmaxi,O1_Ctaur,O1_Cobsc,O1_Tobes,O1_Ojapo -m MFP -pre 2nd_mt_iqtree_res -bb 1000
Seed:    524281 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr  2 12:56:27 2021
Kernel:  AVX - 1 threads (16 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 16 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file mafft_mt_seqs.clustal ... Clustal format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 3 sites contain only gaps or ambiguous characters.
Alignment has 26 sequences with 26958 columns, 13080 distinct patterns
11644 parsimony-informative, 2340 singleton sites, 12974 constant sites
          Gap/Ambiguity  Composition  p-value
   1  F_Arick    34.08%    failed      0.00%
   2  F_Ramu     31.49%    failed      0.00%
   3  F_Rtemp    40.42%    failed      0.00%
   4  F_Pcret    33.86%    failed      0.00%
   5  F_Xbore    35.18%    failed      0.00%
   6  O1_Cmaxi   38.16%    passed     37.80%
   7  O1_Ctaur   37.78%    failed      4.11%
   8  O1_Cobsc   38.03%    failed      0.01%
   9  O1_Tobes   38.05%    failed      0.41%
  10  O1_Ojapo   38.03%    failed      0.00%
  11  S_Ajapo    39.54%    failed      0.00%
  12  S_Atexa    39.29%    failed      0.00%
  13  S_Bnigr    35.47%    failed      0.00%
  14  S_Hleec    39.06%    failed      0.00%
  15  S_Nbeye    39.95%    failed      0.00%
  16  L_Lagil    36.61%    passed      6.87%
  17  L_Pmura    35.79%    failed      0.00%
  18  L_Lpers    38.12%    failed      0.00%
  19  L_Smode    35.04%    failed      0.03%
  20  S_Tcarn    38.57%    failed      0.00%
  21  L_Gjapo    38.63%    failed      0.00%
  22  L_Iigua    38.30%    failed      0.00%
  23  L_Peleg    35.81%    failed      0.00%
  24  O2_Ggori   39.12%    failed      0.00%
  25  O2_Ptrog   38.59%    failed      0.00%
  26  O2_Ppygm   39.21%    failed      0.00%
****  TOTAL      37.39%  24 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.036 seconds
NOTE: ModelFinder requires 160 MB RAM!
ModelFinder will test 286 DNA models (sample size: 26958) ...
 No. Model         -LnL         df  AIC          AICc         BIC
226  TIM3+F+R2     288514.623   57  577143.246   577143.491   577610.762
227  TIM3+F+R3     285830.197   59  571778.395   571778.658   572262.315
228  TIM3+F+R4     285476.541   61  571075.082   571075.363   571575.406
229  TIM3+F+R5     285460.644   63  571047.289   571047.589   571564.017
230  TIM3+F+R6     285460.037   65  571050.075   571050.394   571583.207
235  TVMe          312112.202   53  624330.404   624330.616   624765.112
236  TVMe+I        295953.078   54  592014.156   592014.377   592457.066
237  TVMe+G4       291413.376   54  582934.751   582934.972   583377.661
238  TVMe+I+G4     290492.252   55  581094.504   581094.733   581545.616
239  TVMe+R2       291993.372   55  584096.743   584096.972   584547.855
240  TVMe+R3       290514.445   57  581142.891   581143.137   581610.407
241  TVMe+R4       290353.543   59  580825.085   580825.348   581309.005
242  TVMe+R5       290329.242   61  580780.483   580780.764   581280.807
243  TVMe+R6       290329.047   63  580784.094   580784.394   581300.823
248  TVM+F         310201.784   56  620515.569   620515.806   620974.883
249  TVM+F+I       292165.778   57  584445.557   584445.803   584913.073
250  TVM+F+G4      286053.046   57  572220.091   572220.337   572687.607
251  TVM+F+I+G4    285401.840   58  570919.680   570919.935   571395.398
252  TVM+F+R2      287669.687   58  575455.374   575455.628   575931.092
253  TVM+F+R3      285640.961   60  571401.922   571402.194   571894.044
254  TVM+F+R4      285298.313   62  570720.626   570720.917   571229.153
255  TVM+F+R5      285287.844   64  570703.688   570703.998   571228.619
256  TVM+F+R6      285287.793   66  570707.586   570707.915   571248.921
261  SYM           310085.431   54  620278.863   620279.084   620721.773
262  SYM+I         293286.332   55  586682.663   586682.892   587133.775
263  SYM+G4        288165.206   55  576440.413   576440.642   576891.525
264  SYM+I+G4      287325.335   56  574762.670   574762.907   575221.984
265  SYM+R2        289191.417   56  578494.833   578495.071   578954.147
266  SYM+R3        287392.057   58  574900.114   574900.368   575375.832
267  SYM+R4        287207.508   60  574535.016   574535.288   575027.138
268  SYM+R5        287185.574   62  574495.147   574495.438   575003.673
269  SYM+R6        287184.553   64  574497.106   574497.415   575022.036
274  GTR+F         309762.559   57  619639.118   619639.364   620106.634
275  GTR+F+I       291742.564   58  583601.128   583601.382   584076.846
276  GTR+F+G4      285436.803   58  570989.607   570989.861   571465.325
277  GTR+F+I+G4    284766.091   59  569650.183   569650.446   570134.103
278  GTR+F+R2      287222.081   59  574562.163   574562.426   575046.083
279  GTR+F+R3      284989.472   61  570100.943   570101.225   570601.268
280  GTR+F+R4      284700.688   63  569527.376   569527.676   570044.104
281  GTR+F+R5      284673.558   65  569477.116   569477.435   570010.249
282  GTR+F+R6      284673.495   67  569480.990   569481.329   570030.527
Akaike Information Criterion:           GTR+F+R5
Corrected Akaike Information Criterion: GTR+F+R5
Bayesian Information Criterion:         TIM2+F+R5
Best-fit model: TIM2+F+R5 chosen according to BIC

All model information printed to 2nd_mt_iqtree_res.model.gz
CPU time for ModelFinder: 1528.832 seconds (0h:25m:28s)
Wall-clock time for ModelFinder: 1535.086 seconds (0h:25m:35s)
Generating 1000 samples for ultrafast bootstrap (seed: 524281)...

NOTE: 105 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -298633.668
2. Current log-likelihood: -285063.128
3. Current log-likelihood: -284769.714
4. Current log-likelihood: -284734.882
5. Current log-likelihood: -284723.281
6. Current log-likelihood: -284716.263
7. Current log-likelihood: -284710.984
8. Current log-likelihood: -284706.881
9. Current log-likelihood: -284703.590
10. Current log-likelihood: -284700.876
11. Current log-likelihood: -284698.687
12. Current log-likelihood: -284696.860
13. Current log-likelihood: -284695.285
14. Current log-likelihood: -284694.091
15. Current log-likelihood: -284692.910
16. Current log-likelihood: -284691.924
17. Current log-likelihood: -284691.084
18. Current log-likelihood: -284690.288
19. Current log-likelihood: -284689.604
20. Current log-likelihood: -284688.999
21. Current log-likelihood: -284688.444
22. Current log-likelihood: -284687.945
23. Current log-likelihood: -284687.485
24. Current log-likelihood: -284687.071
25. Current log-likelihood: -284686.679
26. Current log-likelihood: -284686.319
27. Current log-likelihood: -284685.968
28. Current log-likelihood: -284685.634
29. Current log-likelihood: -284685.324
30. Current log-likelihood: -284685.030
31. Current log-likelihood: -284684.759
32. Current log-likelihood: -284684.491
33. Current log-likelihood: -284684.241
34. Current log-likelihood: -284684.010
35. Current log-likelihood: -284683.684
36. Current log-likelihood: -284683.454
37. Current log-likelihood: -284683.255
38. Current log-likelihood: -284683.072
39. Current log-likelihood: -284682.914
40. Current log-likelihood: -284682.763
41. Current log-likelihood: -284682.614
42. Current log-likelihood: -284682.480
43. Current log-likelihood: -284682.360
44. Current log-likelihood: -284682.245
45. Current log-likelihood: -284682.141
Optimal log-likelihood: -284682.038
Rate parameters:  A-C: 2.91374  A-G: 6.64793  A-T: 2.91374  C-G: 1.00000  C-T: 12.91781  G-T: 1.00000
Base frequencies:  A: 0.314  C: 0.260  G: 0.139  T: 0.286
Site proportion and rates:  (0.275,0.012) (0.145,0.229) (0.225,0.714) (0.256,1.620) (0.099,3.912)
Parameters optimization took 45 rounds (69.858 sec)
Computing ML distances based on estimated model parameters... 0.082 sec
Computing BIONJ tree...
0.011 seconds
Log-likelihood of BIONJ tree: -284691.040
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 3.974 second
Computing log-likelihood of 98 initial trees ... 24.851 seconds
Current best score: -284682.038

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -284655.721
Iteration 10 / LogL: -284656.118 / Time: 0h:2m:18s
Iteration 20 / LogL: -284659.866 / Time: 0h:2m:53s
Finish initializing candidate tree set (5)
Current best tree score: -284655.721 / CPU time: 102.454
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -284656.393 / Time: 0h:3m:25s (0h:8m:23s left)
Iteration 40 / LogL: -284657.061 / Time: 0h:3m:57s (0h:6m:11s left)
Iteration 50 / LogL: -284659.256 / Time: 0h:4m:25s (0h:4m:36s left)
Log-likelihood cutoff on original alignment: -284720.872
Iteration 60 / LogL: -284655.988 / Time: 0h:4m:54s (0h:3m:24s left)
Iteration 70 / LogL: -284657.601 / Time: 0h:5m:22s (0h:2m:25s left)
Iteration 80 / LogL: -284661.015 / Time: 0h:5m:54s (0h:1m:34s left)
Iteration 90 / LogL: -284658.348 / Time: 0h:6m:26s (0h:0m:47s left)
Iteration 100 / LogL: -284657.539 / Time: 0h:6m:52s (0h:0m:4s left)
Log-likelihood cutoff on original alignment: -284720.872
NOTE: Bootstrap correlation coefficient of split occurrence frequencies: 1.000
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:6m:58s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -284655.721
2. Current log-likelihood: -284655.634
3. Current log-likelihood: -284655.565
4. Current log-likelihood: -284655.500
5. Current log-likelihood: -284655.440
6. Current log-likelihood: -284655.380
7. Current log-likelihood: -284655.329
8. Current log-likelihood: -284655.284
9. Current log-likelihood: -284655.248
10. Current log-likelihood: -284655.212
11. Current log-likelihood: -284655.195
12. Current log-likelihood: -284655.183
13. Current log-likelihood: -284655.172
Optimal log-likelihood: -284655.162
Rate parameters:  A-C: 2.90809  A-G: 6.62737  A-T: 2.90809  C-G: 1.00000  C-T: 12.97357  G-T: 1.00000
Base frequencies:  A: 0.314  C: 0.260  G: 0.139  T: 0.286
Site proportion and rates:  (0.266,0.010) (0.150,0.210) (0.238,0.720) (0.255,1.665) (0.091,4.046)
Parameters optimization took 13 rounds (15.924 sec)
BEST SCORE FOUND : -284655.162
Creating bootstrap support values...
Split supports printed to NEXUS file 2nd_mt_iqtree_res.splits.nex
Total tree length: 9.215

Total number of iterations: 102
CPU time used for tree search: 345.259 sec (0h:5m:45s)
Wall-clock time used for tree search: 346.499 sec (0h:5m:46s)
Total CPU time used: 432.518 sec (0h:7m:12s)
Total wall-clock time used: 434.027 sec (0h:7m:14s)

Computing bootstrap consensus tree...
Reading input file 2nd_mt_iqtree_res.splits.nex...
26 taxa and 76 splits.
Consensus tree written to 2nd_mt_iqtree_res.contree
Reading input trees file 2nd_mt_iqtree_res.contree
Log-likelihood of consensus tree: -284655.161

Analysis results written to: 
  IQ-TREE report:                2nd_mt_iqtree_res.iqtree
  Maximum-likelihood tree:       2nd_mt_iqtree_res.treefile
  Likelihood distances:          2nd_mt_iqtree_res.mldist

Ultrafast bootstrap approximation results written to:
  Split support values:          2nd_mt_iqtree_res.splits.nex
  Consensus tree:                2nd_mt_iqtree_res.contree
  Screen log file:               2nd_mt_iqtree_res.log

Date and Time: Fri Apr  2 13:29:17 2021
